鬻/粥	yù
羔	gāo
價/賈	jià
塗	tú
拾	shí
沮	jǔ
郊	jiāo
膰	fán
卦	guà
坤	kūn
爻	yáo
繫/係	xì
繫	xì
柔	róu
摩	mó
霆	tíng
暑	shǔ
吝	lìn
占	zhān
罟	gǔ
漁	yú
穴	xué
棟	dòng
耜	sì
絲	sī
蜡	Zhà
側	cè
逮	dài
矜	jīn
鰥/矜	guān
孤	gū
溝	gōu
池	chí
篤	dǔ
謹	jǐn
殃	yāng
黨	dǎng
格	gé
泰山	Tàishān
血	xuè
履	lǚ
黔	qián
嬰兒	yīngér
乞	qǐ
墦	fán
竦	sǒng
匡	Kuāng
佚/逸/失	yì
獵	liè
審	shěn
梓	zǐ
勃	bó
偝/背/北	bèi
謾	màn
遁	dùn
億	yì
懦/懧	nuò
傑	jié
府	fǔ
珠	zhū
耆	qí
笞	chī
刖	yuè
譙	qiào
拂	fú
刳	kū
腸	cháng
淺	qiǎn
釁	xìn
沈/沉	chén
叡	ruì
陛	bì
吊/弔	diào
吞	tūn
啗	dàn
牽	qiān
跪	gùi
塵	chén
雲	yún
怙	hù
婢	bèi
胾	zì
孩/咳	hái
恤	xù
忤/牾/寤	wǔ
灌	guàn
旱	hàn
率	shuài
率	shuài
幸	xìng
廋	sōu
狹	xiá
弛	shǐ
憎	zēng
駭	hài
憫/閔	mǐn
揠	yà
懲	chéng
抑	yì
摽	biāo
耘	yún
苛	kē
橫	héng
橫	hèng
睫	jié
渡	dù
産	chǎn
賀	hè
赦	shè
瞷	xián
罕	hǎn
葆禱	bǎodǎo
襁	qiǎng
謷/驁	áo
轅	yuán
闊	kuò
