五行	wǔxíng	nguX haeng haeng	ngú hāeng hāeng	 five / walk (v.) / walk (v.)	11244
代	dài	dojH	dòȷ	 replace	11245
幼	yòu	'jiwH	'ȷı̀w	 young	11247
舊	jiù	gjuwH	gȷùw	 old	11249
學	xué	haewk	haewk	 study; imitate	11250
性	xìng	sjengH	sȷèng	 nature	11252
喜	xı̌	xiX	xı́		11253
入	rù	nyip	n̯ıp	 enter	11258
園	yuán	hjwon	hȷwōn	 garden	11260
當	dāng	tang tang	tāng tāng	 match (v.); have the value of, rank with / match (v.); have the value of, rank with	11263
當	dàng	tangH	tàng	 suitable	11263
四	sì	sijH	sı̀ȷ	 four	11265
四民	sìmín	sijH mjin	sı̀ȷ mȷı̄n	 four / people	11265
載	zài	dzojH	dzòȷ	 load on a vehicle (v.t.)	11266
餘	yú	yo	yō	 remains; surplus	11268
受	shòu	dzyuwX	dz̯úw	 receive	11270
化	huà	xwaeH	xwàe	 transform	11274
耳	ěr	nyiX	n̯ı́	 ear	11276
耳	ěr	nyiX	n̯ı́	 ear	11276
目	mù	mjuwk	mȷuwk	 eye	11278
少	shǎo	syewX syewX	s̯éw s̯éw	 few / few	11281
少	shào	syewH	s̯èw	 young	11281
年	nián	nen	nēn	 harvest; year	11282
季	jì	kjwijH	kȷwı̀ȷ	 youngest	11284
興	xīng	xing	xı̄ng	 lift, rise	11286
母	mǔ	muwX	múw	 mother	11293
慈	cí	dzi	dzı̄	 loving, kind	11294
愛	ài	'ojH	'òȷ	 to love; to grudge (< ‘draw close to oneself’?)	11295
授	shòu	dzyuwH	dz̯ùw	 give; hand over	11297
二/貳	èr	nyijH	n̯ı̀ȷ	 two	11300
後/后	hòu	huwX huwX	húw húw	 after / after	11302
推	tuī	thwoj	thwōȷ	 push away	11307
以	yı̌	yiX	yı́		11311
士	shì	dzriX	dẓı́	 officer; gentleman	11314
再	zài	tsojH	tsòȷ	 twice; a second time	11316
獻	xiàn	xjonH sa	xȷòn sā	 offer, present / to filter wine	11322
三	sān	sam sam	sām sām	 three / three	11324
三	sàn	sam	sām		11324
而	ér	nyi	n̯ı̄	 and, but	11326
而	ér	nyi	n̯ı̄	 and, but	11326
而後	érhòu	nyi huwX huwX	n̯ı̄ húw húw	 and, but / after / after	11326
而已	éryǐ	nyi yiX	n̯ı̄ yı́	 and, but / cease; already	11326
獲	huò	hweak	hweak	 catch (v.)	11327
於	yú	'jo 'jo	'ȷō 'ȷō	 at (locative preposition) / at (locative preposition)	11331
畢	bì	pjit	pȷıt	 wooden fork	11337
業	yè	ngjaep	ngȷaep	 work (n.)	11338
回/囘	Huí	hwoj	hwōȷ	 go around	11339
就	jiù	dzjuwH	dzȷùw	 go to	11341
司職	sīzhí	si tsyik	sı̄ ts̯ık	 superintend / duties of office	11342
職	zhí	tsyik	ts̯ık	 duties of office	11342
今	jīn	kim	kı̄m	 now	11344
攻	gōng	kuwng	kūwng	 attack	11350
尚	shàng	dzyangH	dz̯àng	 upwards	11355
尚	shàng	dzyangH	dz̯àng	 upwards	11355
一尚書	Shàngshū	'jit dzyangH syo	'ȷıt dz̯àng s̯ō	  / upwards / write	11355
醉	zuì	tswijH	tswı̀ȷ	 drunk (adj.)	11357
心	xīn	sim	sı̄m	 heart	11358
教/敎	jiào	kaewH kaewH	kàew kàew	 teaching; instruction / teaching; instruction	11361
出	chū	tsyhwit tsyhwit	ts̯hwıt ts̯hwıt	 go or come out / go or come out	11365
出	chū	tsyhwit tsyhwit	ts̯hwıt ts̯hwıt	 go or come out / go or come out	11365
嘗	cháng	dzyang	dz̯āng	 taste (v.)	11373
味	wèi	mj+jH	mȷų̀ȷ	 taste (n.)	11375
唯/惟	wéi	ywij	ywı̄ȷ	 only	11378
唯	wěi	ywij	ywı̄ȷ		11378
識	shì	tsyiH	ts̯ı̀		11379
識/志	zhì	tsyiH tsyiH	ts̯ı̀ ts̯ı̀	 remember, commemorate / remember, commemorate	11379
八	bā	peat	peat	 eight	11383
定	dìng	dengH	dèng	 become fixed; settled (v.i.)	11385
玩	wán	ngwanH	ngwàn		11389
道	dào	dawX dawX	dáw dáw	 way / way	11391
道	dào	dawX dawX	dáw dáw	 way / way	11391
世	shì	syejH	s̯èȷ	 generation	11403
儒	rú	nyu	n̯ū		11405
中庸	zhōngyōng	trjuwng trjuwng yowng	ṭȷūwng ṭȷūwng yōwng	 center / center / use; advantage	11408
庸	yōng	yowng	yōwng	 use; advantage	11408
庸	yōng	yowng	yōwng	 use; advantage	11408
大	dà	daH daH	dà dà	 big / big	11409
大家	dàjiā	daH daH kae	dà dà kāe	 big / big / household	11409
獨	dú	duwk	duwk	 alone; only	11413
修/脩	xiū	sjuw	sȷūw	 adorn	11414
身	shēn	syin	s̯ı̄n	 body; self	11416
暇	xiá	haeH	hàe		11419
吾	wú	ngu	ngū	 I, my	11423
常	cháng	dzyang	dz̯āng	 constant	11424
習	xí	zip	zıp	 repeat; practice	11426
武	Wǔ	mjuX	mȷú	 military	11431
術	shù	zywit	z̯wıt	 technique	11432
太/大	tài	thajH	thàȷ	 great	11437
太子/大子	tàizǐ	thajH tsiX	thàȷ tsı́	 great / 1st earthly branch	11437
極	jí	gik	gık	 extreme	11438
意	yì	'iH	'ı̀	 thought (n.)	11451
思	sī	si	sı̄	 think	11453
時	shí	dzyi	dz̯ı̄	 time	11461
時	shí	dzyi	dz̯ı̄	 time	11461
日	rì	nyit	n̯ıt	 sun; day	11464
古	gǔ	kuX	kú	 ancient	11473
得	dé	tok	tok	 obtain	11484
初	chū	tsrhjo	tṣhȷō	 beginning	11488
望	wàng	mjangH mjang	mȷàng mȷāng	 look at from a distance / look at from a distance	11491
從	cóng	dzjowng dzjowng	dzȷōwng dzȷōwng	 to follow / to follow	11492
從	zòng	dzjowngH	dzȷòwng	 follower	11492
聖	shèng	syengH	s̯èng	 sage (n.)	11495
聖人	shèngrén	syengH nyin	s̯èng n̯ı̄n	 sage (n.) / (other) person	11495
賢	xián	hen	hēn	 worthy	11496
師	shī	srij	ṣı̄ȷ	 army	11498
地	dì	dijH	dı̀ȷ	 earth, ground	11509
天地	tiāndì	then then dijH	thēn thēn dı̀ȷ	 heaven / heaven / earth, ground	11509
此	cǐ	tshjeX	tshȷé	 this	11514
先生	xiānshēng	sen sraeng sraeng	sēn ṣāeng ṣāeng	 first / bear, be born; live / bear, be born; live	11515
生	shēng	sraeng sraeng	ṣāeng ṣāeng	 bear, be born; live / bear, be born; live	11515
願	yuàn	ngjwonH	ngȷwòn	 to wish	11517
足	zú	tsjowk tsjowk	tsȷowk tsȷowk	 sufficient / sufficient	11519
足	zú	tsjowk tsjowk	tsȷowk tsȷowk	 sufficient / sufficient	11519
矣/已	yǐ	hiX	hı́	 (final particle)	11520
忠	zhōng	trjuwng	ṭȷūwng	 loyal	12806
通	tōng	thuwng	thūwng	 penetrate	12825
通	tōng	thuwng	thūwng	 penetrate	12825
漢	Hàn	xanH	xàn	 (river name)	13651
秦	Qín	dzin	dzı̄n	 Qín (place name)	14933
西	xī	sej	sēȷ	 west	14954
叔	shū	syuwk	s̯uwk	 gather, harvest	20617
訓	xùn	xjunH	xȷùn	 instruct	23739
宋	Sòng	sowngH	sòwng	 (place name)	24763
耕	gēng	keang	kēang	 plow (v.)	24766
田	tián	den	dēn	 field; to hunt	24767
者	zhě	tsyaeX	ts̯áe	 (nominalizing particle)	24768
株	zhū	trju	ṭȷū	 tree root, stem	24776
兔	tù	thuH	thù	 rabbit, hare	24781
走	zǒu	tsuwX	tsúw	 run	24782
觸	chù	tsyhowk	ts̯howk	 knock against	24784
